Time,Time Code,Country Name,Country Code,GDP per capita (current US$) [NY.GDP.PCAP.CD],"Manufacturing, value added (current US$) [NV.IND.MANF.CD]","Population, total [SP.POP.TOTL]"
2021,YR2021,Middle income,MIC,6085.76413323992,7800998348852.49,5933587229
2021,YR2021,North America,NAC,68399.102745446,2663668416061.03,370321816
2021,YR2021,Not classified,INX,..,..,..
2021,YR2021,OECD members,OED,42731.2889452911,7842098709114.04,1371917156
2021,YR2021,Other small states,OSS,13975.166508629,49045383640.6933,32708277
2021,YR2021,Pacific island small states,PSS,3650.85415168242,778166271.899815,2602173
2021,YR2021,Post-demographic dividend,PST,49527.6601289197,7091254787053.75,1116569892
2021,YR2021,Pre-demographic dividend,PRE,1417.16418953831,151684299316.785,1011043183
2021,YR2021,Small states,SST,12682.8172192726,57406415709.3451,42792327
2021,YR2021,South Asia,SAS,2136.19289074982,605107357898.468,1901911604
2021,YR2021,South Asia (IDA & IBRD),TSA,2136.19289074982,605107357898.468,1901911604
2021,YR2021,Sub-Saharan Africa,SSF,1635.21734094322,224969172187.226,1181163013
2021,YR2021,Sub-Saharan Africa (excluding high income),SSA,1634.26533568468,224880147886.357,1181063755
2021,YR2021,Sub-Saharan Africa (IDA & IBRD countries),TSS,1635.21734094322,224969172187.226,1181163013
2021,YR2021,Upper middle income,UMC,10271.8014880384,6612808347846.66,2776124854
2021,YR2021,World,WLD,12316.1024614581,16083130081238.3,7888305693
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 03/28/2024,,,,,,
